time_stamp, cpu, memory
2023-05-03 00:00:27, 20.6, 26.7
2023-05-03 00:00:27, 20.5, 26.7
2023-05-03 00:02:27, 20.8, 28.6
2023-05-03 00:03:27, 20.5, 29.8
2023-05-03 00:04:27, 20.8, 30.8
2023-05-03 00:05:27, 20.4, 31.0
2023-05-03 00:06:27, 19.9, 31.5
2023-05-03 00:07:27, 19.9, 32.5
2023-05-03 00:08:27, 20.4, 32.7
2023-05-03 00:09:27, 19.3, 33.4
2023-05-03 00:10:27, 19.4, 33.3
2023-05-03 00:11:27, 19.5, 33.7
2023-05-03 00:12:27, 19.5, 33.9
2023-05-03 00:13:27, 19.6, 34.5
2023-05-03 00:14:27, 19.6, 34.3
2023-05-03 00:14:27, 19.6, 34.3